Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.307693245,8.203901293,2.547143687,1.185788511,7.046874992,1.991984449,1.238041842,7.616589113,4.195962803,-0.957771006,1.120879121,7.281025864,-0.384927066,1.138905837,3.0967223,1.833430856,-11.68358552,-2.732595966,3.366778149,-1.035375324,6.429816914,-0.020479214,3.54362966,2.116716123,5.482371174,5.257855673,0.635029268,-18.58909978,17.17250851
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.387732939,2.02448778,4.298652379,5.434042994,4.432872055,1.846008428,2.652282562,3.353977539,3.653224228,3.905250267,3.096044863,5.507314937,6.116924453,6.561318237,6.568776785,4.302481934,0.645423329,5.197137339,3.700190484,0.838835773,4.221358349,3.990637288,2.97642128,2.224015921,2.54602,2.510797084,2.078473013,-2.900489759,4.293395436
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,8.832277813,1.414117981,11.22971482,5.357403251,13.82631955,3.924983822,21.39052839,14.36244147,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,-20.73714562
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.167105553,-0.311087674,1.912226853,4.625897835,4.225267633,3.499905328,1.415074946,3.743666617,5.217662813,9.938148773,5.532112583,8.022837528,5.852891915,5.379765476,5.539130841,6.283028658,6.288381343,6.96542661,4.852048409,5.135583722,6.108757952,5.930449667,2.745137387,0.113686989,2.305623495,2.946174599,3.190878868,-0.900381895,3.965398557
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568876,2.99,10.95000001,15.02999999,11.55,14.01000001,11.16999999,0.860000002,4.859999999,3.470000001,8.540000003,4.949999998,4.819999999,0.939999999,-2.579999996,-0.15,-1.316312102,-0.699999998,-5.6,1.1
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.559411685,8.302866597,13.32233332,9.099999436,-10.91998408,8.829423758,12.89080364,6.946216592,8.293312631,4.53652416,5.528637465,5.514667911,5.526424247,5.902659036,5.983259519,7.50004143,3.35428935,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.8022274,4.019359685,2.088063376,-3.481630373,8.515501123
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.03148439,2.383182248,2.757501613,4.649738668,9.067672051,3.194793393,4.099078922,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.949417981
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.167077907,3.2807572,3.061416515,4.696610267,4.758653003,5.116632528,1.836737398,6.565675296,1.700444932,0.677285279,4.875143893,8.867132351,5.523116813,6.087340304,4.570573868,5.555533112,0.388333541,4.747810673,3.247513658,5.147833264,2.585797358,2.935539269,3.294068181,3.518252295,1.056332638,2.383924784,1.256278619,-4.844774337,3.606816529
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.261190951,6.896148551,6.687886464,5.798404061,8.190398641,0.291994349,2.902213645,10.85270421,1.39908503,2.43345681,8.800540815,9.566436637,4.855141196,9.837319773,3.184390174,3.191836276,-5.242921907,1.602850048,6.928508595,4.776625737,5.055559654,4.165691843,6.786772879,5.561490755,0.735068713,1.313913881,1.108348139,-4.957052437,3.91629608
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.206979072,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.943235134,10.39824946
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-8.799998793,5.400002779,6.89999842,5.865400749,3.3210797,7.299999988,3.300000001,5.900000003,9.599999999,13.2,14,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.699999999,7.200000001,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.2,5.7
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,0.965517241,0.409836066,-0.408163265,-4.098360656,1.851851852,-2.657342657,-4.166666667,0.299850075,0,-4.334828102,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,2.671118531,-0.487804878,5.065359477,-1.866251944
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.279878709,6.676707103,-4.359587382,6.604459721,5.471608482,4.731125092,3.70761791,6.203431254,-4.548003473,1.02744197,6.076543688,5.767028612,6.473831316,12.70814853,9.315383163,-0.014340652,-11.96269725,-7.840594744,-1.958612628,3.3728662,-0.600876397,3.795727613,3.825293099,5.496459204,3.14432324,6.883640817,4.862236166,-20.19237057,5.27084884
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.047425268,3.980923347,3.887106294,3.856841227,3.912835473,4.613356892,4.956324506,3.901171371,2.041417338,3.993589865,3.111398208,4.216633273,3.15375271,2.740635704,3.777916783,3.568270032,1.870486961,2.20656631,2.391385132,3.902007806,2.578754288,2.579017112,2.152735906,2.730547992,2.282183642,2.883045123,2.171396224,-0.050885336,2.236212439
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.526809204,2.402119074,2.667983531,2.349533852,2.09359939,3.581425815,3.556331247,3.375722147,1.267168189,1.651553922,0.941470921,2.735120222,2.244065325,3.454041836,3.727415301,1.460423676,-3.764578178,1.837093677,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586,1.989437162,2.258572433,2.425385361,1.517388583,-6.453968467,4.556850913
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-23.09999872,-19.70000124,-11.79999911,1.299999405,5.800000148,9.999999612,7.4000013,11.09999914,9.899999865,9.438916269,10.2082994,9.253801797,27.96153811,34.5,24.99999985,10.75897806,9.296363744,5.048944513,0.100000138,2.165239475,5.809800843,2.750506815,1.093975916,-3.09999988,0.199999939,1.5,2.500000067,-4.300000102,5.600037273
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-6.240000001,-3.829999996,-7.920000004,-7.999999998,-1.589999997,4.749999995,-1.009999996,-0.856864058,2.055807108,4.446519412,-1.22372796,4.833657768,0.900000001,5.413807145,3.451948564,4.861716367,3.812745366,5.124159994,4.032599988,4.446706331,4.924189898,4.240650214,-3.90000008,-0.600000909,0.500001262,1.609935421,1.812565323,0.327156891,1.7953
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.96187331,3.226971525,2.38475728,1.32145093,3.79365763,1.961808272,3.542743464,3.716679384,1.099618888,1.706884585,1.037982549,3.571204343,2.321737054,2.552349944,3.676881136,0.446928735,-2.020743062,2.864292708,1.694513899,0.739217283,0.459242193,1.578533143,2.041459009,1.266686409,1.619580278,1.792945193,2.24085824,-5.361386633,6.133865964
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.836172085,2.020400448,6.04519865,4.324284031,5.734688375,3.961012138,5.341449372,5.857714205,5.333135706,4.643030871,3.443576776,4.429684554,1.713164564,3.943738828,5.986349322,4.896577084,2.319292139,2.114064726,2.963752919,4.811223316,7.191433721,6.357679098,1.77815106,3.339673426,5.671555469,6.697259461,6.865687336,3.848523092,7.155729529
